Title,Price,Rating,Colors,Size,Gender,timestamp
T-shirt 2,1838700.0,3.9,3,M,Women,2026-06-07 21:26:33
Hoodie 3,8943840.0,4.8,3,L,Unisex,2026-06-07 21:26:33
Pants 4,8411580.0,3.3,3,XL,Men,2026-06-07 21:26:33
Outerwear 5,5788620.0,3.5,3,XXL,Women,2026-06-07 21:26:33
Jacket 6,2760660.0,3.3,3,S,Unisex,2026-06-07 21:26:33
Crewneck 7,7753500.0,4.3,3,M,Men,2026-06-07 21:26:33
T-shirt 8,8777880.0,3.1,3,L,Women,2026-06-07 21:26:33
Hoodie 9,4468680.0,3.2,3,XL,Unisex,2026-06-07 21:26:33
Pants 10,3487680.0,4.2,3,XXL,Men,2026-06-07 21:26:33
Jacket 12,9593820.0,3.9,3,M,Unisex,2026-06-07 21:26:33
Crewneck 13,6128100.0,3.2,3,L,Men,2026-06-07 21:26:33
T-shirt 14,3654900.0,3.8,3,XL,Women,2026-06-07 21:26:33
Hoodie 15,2457180.0,3.6,3,XXL,Unisex,2026-06-07 21:26:33
Outerwear 17,946800.0,3.8,3,M,Women,2026-06-07 21:26:33
Jacket 18,6187500.0,3.8,3,L,Unisex,2026-06-07 21:26:33
Crewneck 19,1472580.0,3.6,3,XL,Men,2026-06-07 21:26:33
T-shirt 20,1491300.0,3.4,3,XXL,Women,2026-06-07 21:26:33
Pants 22,4859640.0,4.9,3,M,Men,2026-06-07 21:26:33
Outerwear 23,5237820.0,3.7,3,L,Women,2026-06-07 21:26:33
Jacket 24,9251460.0,3.9,3,XL,Unisex,2026-06-07 21:26:33
Crewneck 25,9362880.0,3.3,3,XXL,Men,2026-06-07 21:26:33
T-shirt 26,8203860.0,4.6,3,S,Women,2026-06-07 21:26:33
Hoodie 27,3995820.0,4.8,3,M,Unisex,2026-06-07 21:26:33
Pants 28,5868180.0,4.0,3,L,Men,2026-06-07 21:26:33
Outerwear 29,969300.0,3.1,3,XL,Women,2026-06-07 21:26:33
Jacket 30,9686520.0,3.7,3,XXL,Unisex,2026-06-07 21:26:33
T-shirt 32,7490160.0,3.4,3,M,Women,2026-06-07 21:26:33
Hoodie 33,8154180.0,3.5,3,L,Unisex,2026-06-07 21:26:33
Pants 34,9408060.0,3.8,3,XL,Men,2026-06-07 21:26:33
Outerwear 35,1525680.0,3.8,3,XXL,Women,2026-06-07 21:26:33
Jacket 36,8155440.0,3.7,3,S,Unisex,2026-06-07 21:26:33
Crewneck 37,6756840.0,4.0,3,M,Men,2026-06-07 21:26:33
T-shirt 38,5474340.0,3.2,3,L,Women,2026-06-07 21:26:33
Hoodie 39,7235100.0,4.6,3,XL,Unisex,2026-06-07 21:26:33
Pants 40,6585300.0,3.1,3,XXL,Men,2026-06-07 21:26:33
Jacket 42,7587180.0,3.7,3,M,Unisex,2026-06-07 21:26:33
Crewneck 43,3273300.0,4.5,3,L,Men,2026-06-07 21:26:33
T-shirt 44,3726360.0,3.0,3,XL,Women,2026-06-07 21:26:33
Hoodie 45,9779760.0,4.5,3,XXL,Unisex,2026-06-07 21:26:33
Outerwear 47,7160220.0,3.2,3,M,Women,2026-06-07 21:26:33
Jacket 48,5619060.0,3.4,3,L,Unisex,2026-06-07 21:26:33
Crewneck 49,1205100.0,4.0,3,XL,Men,2026-06-07 21:26:33
T-shirt 50,6674580.0,3.1,3,XXL,Women,2026-06-07 21:26:33
Pants 52,1796040.0,4.0,3,M,Men,2026-06-07 21:26:33
Outerwear 53,5029740.0,4.3,3,L,Women,2026-06-07 21:26:33
Jacket 54,961379.9999999999,4.2,3,XL,Unisex,2026-06-07 21:26:33
Crewneck 55,2017980.0,3.6,3,XXL,Men,2026-06-07 21:26:33
T-shirt 56,5223420.0,3.8,3,S,Women,2026-06-07 21:26:33
Hoodie 57,3549780.0,4.9,3,M,Unisex,2026-06-07 21:26:33
Pants 58,1842480.0,4.4,3,L,Men,2026-06-07 21:26:33
Outerwear 59,2536019.9999999995,4.6,3,XL,Women,2026-06-07 21:26:33
Jacket 60,3797460.0,4.2,3,XXL,Unisex,2026-06-07 21:26:33
T-shirt 62,1548540.0,3.8,3,M,Women,2026-06-07 21:26:33
Hoodie 63,7289100.0,3.6,3,L,Unisex,2026-06-07 21:26:33
Pants 64,8694540.0,4.0,3,XL,Men,2026-06-07 21:26:33
Outerwear 65,2684160.0,4.1,3,XXL,Women,2026-06-07 21:26:33
Jacket 66,4897260.0,3.5,3,S,Unisex,2026-06-07 21:26:33
Crewneck 67,9529560.0,3.5,3,M,Men,2026-06-07 21:26:33
T-shirt 68,9028440.0,4.0,3,L,Women,2026-06-07 21:26:33
Hoodie 69,1156320.0,3.6,3,XL,Unisex,2026-06-07 21:26:33
Pants 70,1317780.0,4.4,3,XXL,Men,2026-06-07 21:26:33
Jacket 72,4248000.0,4.4,3,M,Unisex,2026-06-07 21:26:33
Crewneck 73,2767860.0,3.0,3,L,Men,2026-06-07 21:26:33
T-shirt 74,8667900.0,3.8,3,XL,Women,2026-06-07 21:26:33
Hoodie 75,2364480.0000000005,4.3,3,XXL,Unisex,2026-06-07 21:26:33
Outerwear 77,969480.0,3.7,3,M,Women,2026-06-07 21:26:33
Jacket 78,3056040.0,4.3,3,L,Unisex,2026-06-07 21:26:33
Crewneck 79,3723300.0,4.6,3,XL,Men,2026-06-07 21:26:33
T-shirt 80,4700700.0,4.5,3,XXL,Women,2026-06-07 21:26:33
Pants 82,9354960.0,4.8,3,M,Men,2026-06-07 21:26:33
